Actor,Film,Year,Votes,Rating
Bette Davis,In This Our Life,1942,4241,7.4
Bette Davis,The Little Foxes,1941,10612,8
Bette Davis,The Great Lie,1941,3410,7.2
Bette Davis,The Bride Came C.O.D.,1941,2988,7
Bette Davis,Shining Victory,1941,572,6.7
Bette Davis,The Letter,1940,11908,7.6
Bette Davis,"All This, and Heaven Too",1940,4382,7.5
Bette Davis,Dark Victory,1939,10092,7.5
Bette Davis,The Private Lives of Elizabeth and Essex,1939,5113,7.1
Bette Davis,The Old Maid,1939,3321,7.6
Bette Davis,Juarez,1939,2019,7
Bette Davis,Jezebel,1938,12180,7.5
Bette Davis,The Sisters,1938,1703,6.9
Bette Davis,Marked Woman,1937,3589,7.2
Bette Davis,Kid Galahad,1937,3122,7.2
Bette Davis,It's Love I'm After,1937,2145,7.5
Bette Davis,That Certain Woman,1937,1284,6.7
Bette Davis,The Petrified Forest,1936,12681,7.5
Bette Davis,Satan Met a Lady,1936,1918,6
Bette Davis,The Golden Arrow,1936,920,6.4
Bette Davis,Dangerous,1935,2837,6.9
Bette Davis,Bordertown,1935,1515,6.9
Bette Davis,Front Page Woman,1935,1348,6.7
Bette Davis,The Girl from 10th Avenue,1935,1146,6.8
Bette Davis,Special Agent,1935,838,6.7
Bette Davis,Of Human Bondage,1934,6532,7.1
Bette Davis,Jimmy the Gent,1934,1590,6.8
Bette Davis,Fog Over Frisco,1934,1432,6.7
Bette Davis,Fashions of 1934,1934,1372,6.8
Bette Davis,Housewife,1934,867,6.3
Bette Davis,The Big Shakedown,1934,827,6.4
Bette Davis,Ex-Lady,1933,1236,6.5
Bette Davis,Bureau of Missing Persons,1933,1106,6.7
Bette Davis,The Working Man,1933,952,7.4
Bette Davis,Parachute Jumper,1933,922,6.6
Bette Davis,Three on a Match,1932,3439,7.1
Bette Davis,"20,000 Years in Sing Sing",1932,2424,6.9
Bette Davis,The Cabin in the Cotton,1932,1456,6.8
Bette Davis,So Big!,1932,1402,6.9
Bette Davis,Hell's House,1932,1096,6
Bette Davis,The Dark Horse,1932,1049,7
Bette Davis,The Man Who Played God,1932,934,7.1
Bette Davis,The Rich Are Always with Us,1932,912,6.5
Bette Davis,The Menace,1932,448,6.9
Bette Davis,Waterloo Bridge,1931,2455,7.5
Bette Davis,The Bad Sister,1931,1049,6.2
Bette Davis,Way Back Home,1931,650,6.1
Bette Davis,Seed,1931,423,7.1
Doris Day,With Six You Get Eggroll,1968,2502,6.5
Doris Day,Where Were You When the Lights Went Out?,1968,807,6
Doris Day,Caprice,1967,1227,5.6
Doris Day,The Ballad of Josie,1967,860,5.8
Doris Day,The Glass Bottom Boat,1966,4342,6.5
Doris Day,Do Not Disturb,1965,1510,6
Doris Day,Send Me No Flowers,1964,6127,7
Doris Day,"Move Over, Darling",1963,5387,7
Doris Day,The Thrill of It All,1963,4939,7
Doris Day,That Touch of Mink,1962,8883,6.7
Doris Day,Billy Rose's Jumbo,1962,1367,6.2
Doris Day,Lover Come Back,1961,7238,7.2
Doris Day,Midnight Lace,1960,4753,6.8
Doris Day,Please Don't Eat the Daisies,1960,4119,6.5
Doris Day,Pillow Talk,1959,15831,7.4
Doris Day,It Happened to Jane,1959,2448,6.6
Doris Day,Teacher's Pet,1958,4144,7.1
Doris Day,The Tunnel of Love,1958,1157,6
Doris Day,The Pajama Game,1957,3183,6.7
Doris Day,The Man Who Knew Too Much,1956,59275,7.4
Doris Day,Julie,1956,1524,6.2
Doris Day,Love Me or Leave Me,1955,3747,7.1
Doris Day,Young at Heart,1954,2252,6.8
Doris Day,Lucky Me,1954,680,6.1
Doris Day,Calamity Jane,1953,8812,7.3
Doris Day,Crime Wave,1953,3400,7.3
Doris Day,By the Light of the Silvery Moon,1953,1987,7.1
Doris Day,April in Paris,1952,1172,6.1
Doris Day,The Winning Team,1952,869,6.5
Doris Day,On Moonlight Bay,1951,2403,7.1
Doris Day,Storm Warning,1951,1667,7.1
Doris Day,Lullaby of Broadway,1951,1005,6.8
Doris Day,I'll See You in My Dreams,1951,954,6.8
Doris Day,Starlift,1951,453,5.9
Doris Day,Young Man with a Horn,1950,3047,7.2
Doris Day,Tea for Two,1950,1723,6.5
Doris Day,The West Point Story,1950,1176,6.2
Doris Day,It's a Great Feeling,1949,1501,6.4
Doris Day,My Dream Is Yours,1949,1237,6.6
Doris Day,Romance on the High Seas,1948,2020,7
Olivia de Havilland,The Fifth Musketeer,1979,657,5.3
Olivia de Havilland,The Swarm,1978,7002,4.5
Olivia de Havilland,Airport '77,1977,9769,5.8
Olivia de Havilland,Pope Joan,1972,328,5.5
Olivia de Havilland,The Adventurers,1970,656,5.5
Olivia de Havilland,"Hush...Hush, Sweet Charlotte",1964,13047,7.6
Olivia de Havilland,Lady in a Cage,1964,3003,6.8
Olivia de Havilland,Light in the Piazza,1962,1515,6.9
Olivia de Havilland,Libel,1959,1135,7.1
Olivia de Havilland,The Proud Rebel,1958,1455,6.8
Olivia de Havilland,The Ambassador's Daughter,1956,598,6
Olivia de Havilland,Not as a Stranger,1955,1706,6.7
Olivia de Havilland,That Lady,1955,140,5.6
Olivia de Havilland,My Cousin Rachel,1952,2481,7.1
Olivia de Havilland,The Heiress,1949,14122,8.1
Olivia de Havilland,The Snake Pit,1948,6944,7.6
Olivia de Havilland,The Dark Mirror,1946,4440,7.1
Olivia de Havilland,To Each His Own,1946,2415,7.7
Olivia de Havilland,Devotion,1946,813,6.6
Olivia de Havilland,The Well Groomed Bride,1946,118,5.7
Olivia de Havilland,Thank Your Lucky Stars,1943,1598,7
Olivia de Havilland,Princess O'Rourke,1943,1155,6.8
Olivia de Havilland,Government Girl,1943,519,5.7
Olivia de Havilland,In This Our Life,1942,4241,7.4
Olivia de Havilland,The Male Animal,1942,1172,6.6
Olivia de Havilland,They Died with Their Boots On,1941,5818,7.2
Olivia de Havilland,The Strawberry Blonde,1941,3255,7.3
Olivia de Havilland,Hold Back the Dawn,1941,2037,7.4
Olivia de Havilland,Santa Fe Trail,1940,3367,6.3
Olivia de Havilland,My Love Came Back,1940,442,6.3
Olivia de Havilland,Gone with the Wind,1939,292744,8.1
Olivia de Havilland,The Private Lives of Elizabeth and Essex,1939,5113,7.1
Olivia de Havilland,Dodge City,1939,4731,7.1
Olivia de Havilland,Raffles,1939,833,6.3
Olivia de Havilland,Wings of the Navy,1939,291,6
Olivia de Havilland,The Adventures of Robin Hood,1938,47491,7.9
Olivia de Havilland,Four's a Crowd,1938,1044,6.5
Olivia de Havilland,Hard to Get,1938,572,6.7
Olivia de Havilland,Gold Is Where You Find It,1938,472,6.1
Olivia de Havilland,It's Love I'm After,1937,2145,7.5
Olivia de Havilland,The Great Garrick,1937,601,6.8
Olivia de Havilland,Call It a Day,1937,269,5.9
Olivia de Havilland,The Charge of the Light Brigade,1936,4536,7.1
Olivia de Havilland,Anthony Adverse,1936,1617,6.3
Olivia de Havilland,Captain Blood,1935,13163,7.7
Olivia de Havilland,A Midsummer Night's Dream,1935,3203,6.9
Olivia de Havilland,The Irish in Us,1935,625,6.3
Olivia de Havilland,Alibi Ike,1935,617,6.1
James Dean,Giant,1956,34495,7.6
James Dean,Rebel Without a Cause,1955,84276,7.7
James Dean,East of Eden,1955,40849,7.9
James Dean,Trouble Along the Way,1953,1670,6.8
James Dean,Has Anybody Seen My Gal,1952,1336,7.1
James Dean,Sailor Beware,1952,1118,6.4
James Dean,Fixed Bayonets!,1951,1730,6.9
Marlene Dietrich,Just a Gigolo,1978,763,5.7
Marlene Dietrich,Paris When It Sizzles,1964,7934,6.4
Marlene Dietrich,Judgment at Nuremberg,1961,70359,8.2
Marlene Dietrich,Touch of Evil,1958,99009,8
Marlene Dietrich,Witness for the Prosecution,1957,110609,8.4
Marlene Dietrich,Around the World in 80 Days,1956,25046,6.8
Marlene Dietrich,The Montecarlo Story,1956,349,5.8
Marlene Dietrich,Rancho Notorious,1952,4069,7
Marlene Dietrich,No Highway in the Sky,1951,3339,7.2
Marlene Dietrich,Stage Fright,1950,12918,7.1
Marlene Dietrich,Jigsaw,1949,727,5.7
Marlene Dietrich,A Foreign Affair,1948,6946,7.3
Marlene Dietrich,Golden Earrings,1947,1022,6.7
Marlene Dietrich,The Room Upstairs,1946,319,6.4
Marlene Dietrich,Kismet,1944,1036,6.2
Marlene Dietrich,Follow the Boys,1944,401,5.8
Marlene Dietrich,The Spoilers,1942,2508,6.7
Marlene Dietrich,Pittsburgh,1942,1089,6.6
Marlene Dietrich,The Lady Is Willing,1942,596,6.4
Marlene Dietrich,Manpower,1941,1297,6.7
Marlene Dietrich,The Flame of New Orleans,1941,1030,6.5
Marlene Dietrich,Seven Sinners,1940,1232,6.7
Marlene Dietrich,Destry Rides Again,1939,10411,7.7
Marlene Dietrich,Angel,1937,2347,7.3
Marlene Dietrich,Knight Without Armor,1937,1199,6.8
Marlene Dietrich,Desire,1936,2180,7.1
Marlene Dietrich,The Garden of Allah,1936,1375,5.9
Marlene Dietrich,The Devil Is a Woman,1935,3128,7
Marlene Dietrich,The Scarlet Empress,1934,5913,7.6
Marlene Dietrich,The Song of Songs,1933,647,6.8
Marlene Dietrich,Shanghai Express,1932,7831,7.3
Marlene Dietrich,Blonde Venus,1932,4498,7.1
Marlene Dietrich,Dishonored,1931,2226,7.3
Marlene Dietrich,The Blue Angel,1930,13835,7.7
Marlene Dietrich,Morocco,1930,5796,7.1
Marlene Dietrich,Three Loves,1929,216,6.7
Marlene Dietrich,I Kiss Your Hand Madame,1929,123,6.1
Marlene Dietrich,Cafe Electric,1927,115,6.3
Kirk Douglas,Illusion,2004,396,7
Kirk Douglas,It Runs in the Family,2003,4653,5.6
Kirk Douglas,Diamonds,1999,1493,5.5
Kirk Douglas,Greedy,1994,12969,6.4
Kirk Douglas,Oscar,1991,30066,6.6
Kirk Douglas,Tough Guys,1986,6655,6.3
Kirk Douglas,Eddie Macon's Run,1983,1036,5.7
Kirk Douglas,The Man from Snowy River,1982,8106,7.3
Kirk Douglas,The Final Countdown,1980,21635,6.7
Kirk Douglas,Saturn 3,1980,8514,5.2
Kirk Douglas,The Villain,1979,6619,5.4
Kirk Douglas,Home Movies,1979,769,5.2
Kirk Douglas,The Fury,1978,13811,6.4
Kirk Douglas,Holocaust 2000,1977,1133,5.5
Kirk Douglas,Posse,1975,1908,6.5
Kirk Douglas,Once Is Not Enough,1975,643,4.5
Kirk Douglas,Scalawag,1973,301,5.1
Kirk Douglas,The Master Touch,1972,553,6.1
Kirk Douglas,The Light at the Edge of the World,1971,1333,6.1
Kirk Douglas,A Gunfight,1971,1163,6.4
Kirk Douglas,Catch Me a Spy,1971,284,5.3
Kirk Douglas,There Was a Crooked Man...,1970,4138,7
Kirk Douglas,The Arrangement,1969,2653,6.5
Kirk Douglas,The Brotherhood,1968,812,6.1
Kirk Douglas,A Lovely Way to Die,1968,407,5.1
Kirk Douglas,The War Wagon,1967,8878,6.9
Kirk Douglas,The Way West,1967,2527,6.2
Kirk Douglas,Is Paris Burning?,1966,4174,6.9
Kirk Douglas,Cast a Giant Shadow,1966,2903,6.4
Kirk Douglas,In Harm's Way,1965,8095,7.3
Kirk Douglas,The Heroes of Telemark,1965,6627,6.5
Kirk Douglas,Seven Days in May,1964,13100,7.8
Kirk Douglas,The List of Adrian Messenger,1963,4928,6.9
Kirk Douglas,The Hook,1963,565,6.5
Kirk Douglas,For Love or Money,1963,429,6.2
Kirk Douglas,Lonely Are the Brave,1962,8197,7.6
Kirk Douglas,Two Weeks in Another Town,1962,2198,6.5
Kirk Douglas,The Last Sunset,1961,2831,6.8
Kirk Douglas,Town Without Pity,1961,1655,7.2
Kirk Douglas,Spartacus,1960,125335,7.9
Kirk Douglas,Strangers When We Meet,1960,2039,7.1
Kirk Douglas,Operation Petticoat,1959,13008,7.3
Kirk Douglas,Last Train from Gun Hill,1959,6699,7.4
Kirk Douglas,The Devil's Disciple,1959,2113,7.2
Kirk Douglas,The Vikings,1958,13141,7.1
Kirk Douglas,Paths of Glory,1957,180555,8.4
Kirk Douglas,Gunfight at the O.K. Corral,1957,14284,7.2
Kirk Douglas,Top Secret Affair,1957,477,6.2
Kirk Douglas,Lust for Life,1956,10760,7.4
Kirk Douglas,Man Without a Star,1955,3065,6.9
Kirk Douglas,The Indian Fighter,1955,2240,6.4
Kirk Douglas,The Racers,1955,340,5.4
Kirk Douglas,"20,000 Leagues Under the Sea",1954,29802,7.2
Kirk Douglas,Ulysses,1954,3607,6.7
Kirk Douglas,The Story of Three Loves,1953,1127,6.9
Kirk Douglas,The Juggler,1953,546,6.6
Kirk Douglas,Act of Love,1953,482,6.6
Kirk Douglas,The Bad and the Beautiful,1952,13522,7.8
Kirk Douglas,The Big Sky,1952,3941,7
Kirk Douglas,The Big Trees,1952,1486,5.7
Kirk Douglas,Ace in the Hole,1951,32022,8.1
Kirk Douglas,Detective Story,1951,7413,7.6
Kirk Douglas,Along the Great Divide,1951,1766,6.9
Kirk Douglas,Young Man with a Horn,1950,3047,7.2
Kirk Douglas,The Glass Menagerie,1950,1025,7.1
Kirk Douglas,A Letter to Three Wives,1949,8598,7.7
Kirk Douglas,Champion,1949,3758,7.4
Kirk Douglas,My Dear Secretary,1948,930,5.7
Kirk Douglas,The Walls of Jericho,1948,275,7
Kirk Douglas,Out of the Past,1947,33256,8
Kirk Douglas,I Walk Alone,1947,2474,7
Kirk Douglas,Mourning Becomes Electra,1947,1011,6.5
Kirk Douglas,The Strange Love of Martha Ivers,1946,8571,7.4
Federico Fellini,Intervista,1987,2486,7
Federico Fellini,Roma,1972,11831,7.4
Federico Fellini,L'amore,1948,1454,6.9
Henry Fonda,On Golden Pond,1981,27949,7.6
Henry Fonda,Meteor,1979,6714,5
Henry Fonda,Wanda Nevada,1979,1177,5.6
Henry Fonda,City on Fire,1979,1037,4.2
Henry Fonda,The Swarm,1978,7002,4.5
Henry Fonda,Fedora,1978,4097,6.9
Henry Fonda,The Biggest Battle,1978,436,4.9
Henry Fonda,Rollercoaster,1977,5749,6.3
Henry Fonda,Tentacles,1977,3239,3.7
Henry Fonda,The Last of the Cowboys,1977,430,5.1
Henry Fonda,Midway,1976,18051,6.8
Henry Fonda,The Last 4 Days,1974,661,6.6
Henry Fonda,My Name Is Nobody,1973,23622,7.5
Henry Fonda,The Serpent,1973,963,6.2
Henry Fonda,Ash Wednesday,1973,570,5.3
Henry Fonda,Sometimes a Great Notion,1971,3577,7
Henry Fonda,There Was a Crooked Man...,1970,4138,7
Henry Fonda,The Cheyenne Social Club,1970,4085,6.9
Henry Fonda,Too Late the Hero,1970,3302,6.7
Henry Fonda,Once Upon a Time in the West,1968,305818,8.5
Henry Fonda,The Boston Strangler,1968,8518,7.1
Henry Fonda,"Yours, Mine and Ours",1968,7769,7.2
Henry Fonda,Madigan,1968,3349,6.5
Henry Fonda,Firecreek,1968,3211,6.9
Henry Fonda,Welcome to Hard Times,1967,1432,5.9
Henry Fonda,A Big Hand for the Little Lady,1966,3921,7.3
Henry Fonda,Battle of the Bulge,1965,15043,6.8
Henry Fonda,In Harm's Way,1965,8095,7.3
Henry Fonda,The Rounders,1965,1537,6.2
Henry Fonda,The Secret Agents,1965,186,5.7
Henry Fonda,Fail-Safe,1964,20125,8
Henry Fonda,Sex and the Single Girl,1964,3676,6.5
Henry Fonda,The Best Man,1964,3131,7.6
Henry Fonda,Spencer's Mountain,1963,2504,7.1
Henry Fonda,The Longest Day,1962,52446,7.8
Henry Fonda,How the West Was Won,1962,18904,7.1
Henry Fonda,Advise & Consent,1962,6600,7.7
Henry Fonda,Warlock,1959,5557,7.2
Henry Fonda,The Man Who Understood Women,1959,175,4.4
Henry Fonda,Stage Struck,1958,623,6
Henry Fonda,12 Angry Men,1957,699843,9
Henry Fonda,The Tin Star,1957,5169,7.3
Henry Fonda,The Wrong Man,1956,26018,7.4
Henry Fonda,War and Peace,1956,9210,6.8
Henry Fonda,Mister Roberts,1955,15450,7.7
Henry Fonda,Jigsaw,1949,727,5.7
Henry Fonda,Fort Apache,1948,16577,7.5
Henry Fonda,On Our Merry Way,1948,584,5.8
Henry Fonda,The Fugitive,1947,2152,6.3
Henry Fonda,Daisy Kenyon,1947,2129,6.8
Henry Fonda,The Long Night,1947,1439,6.6
Henry Fonda,My Darling Clementine,1946,21750,7.8
Henry Fonda,Immortal Sergeant,1943,786,6.7
Henry Fonda,The Ox-Bow Incident,1942,21053,8
Henry Fonda,Tales of Manhattan,1942,2028,7.3
Henry Fonda,The Male Animal,1942,1172,6.6
Henry Fonda,The Big Street,1942,1136,6.5
Henry Fonda,Rings on Her Fingers,1942,713,6.7
Henry Fonda,The Magnificent Dope,1942,361,6.9
Henry Fonda,The Lady Eve,1941,19450,7.8
Henry Fonda,You Belong to Me,1941,617,6
Henry Fonda,The Grapes of Wrath,1940,86103,8
Henry Fonda,The Return of Frank James,1940,2932,6.6
Henry Fonda,Lillian Russell,1940,399,6.6
Henry Fonda,Chad Hanna,1940,258,6.3
Henry Fonda,Young Mr. Lincoln,1939,7540,7.6
Henry Fonda,Drums Along the Mohawk,1939,5697,7.1
Henry Fonda,Jesse James,1939,4039,7
Henry Fonda,The Story of Alexander Graham Bell,1939,990,6.9
Henry Fonda,Let Us Live,1939,478,6.8
Henry Fonda,Jezebel,1938,12180,7.5
Henry Fonda,The Mad Miss Manton,1938,2111,6.8
Henry Fonda,Blockade,1938,448,5.6
Henry Fonda,Spawn of the North,1938,406,6.8
Henry Fonda,I Met My Love Again,1938,258,5.5
Henry Fonda,You Only Live Once,1937,5999,7.3
Henry Fonda,That Certain Woman,1937,1284,6.7
Henry Fonda,Slim,1937,364,6.3
Henry Fonda,Wings of the Morning,1937,238,5.8
Henry Fonda,The Trail of the Lonesome Pine,1936,1065,6.8
Henry Fonda,The Moon's Our Home,1936,239,6.7
Henry Fonda,I Dream Too Much,1935,438,5.4
Henry Fonda,The Farmer Takes a Wife,1935,337,6.5
Henry Fonda,Way Down East,1935,168,6
Joan Fontaine,The Witches,1966,2517,5.8
Joan Fontaine,Tender Is the Night,1962,657,6
Joan Fontaine,Voyage to the Bottom of the Sea,1961,5494,6.1
Joan Fontaine,A Certain Smile,1958,250,5.9
Joan Fontaine,Until They Sail,1957,1212,6.5
Joan Fontaine,Island in the Sun,1957,1067,6
Joan Fontaine,Beyond a Reasonable Doubt,1956,4821,7
Joan Fontaine,Serenade,1956,463,5.8
Joan Fontaine,Casanova's Big Night,1954,940,6.8
Joan Fontaine,The Bigamist,1953,3306,6.8
Joan Fontaine,Flight to Tangier,1953,268,5.5
Joan Fontaine,Decameron Nights,1953,249,5.4
Joan Fontaine,Ivanhoe,1952,8202,6.8
Joan Fontaine,Something to Live For,1952,295,6.5
Joan Fontaine,Othello,1951,7785,7.6
Joan Fontaine,"Darling, How Could You!",1951,192,6.2
Joan Fontaine,Born to Be Bad,1950,2023,6.7
Joan Fontaine,September Affair,1950,722,6.8
Joan Fontaine,Letter from an Unknown Woman,1948,11159,8
Joan Fontaine,The Emperor Waltz,1948,1480,6.1
Joan Fontaine,Kiss the Blood Off My Hands,1948,1085,6.8
Joan Fontaine,You Gotta Stay Happy,1948,719,6.9
Joan Fontaine,Ivy,1947,772,7.1
Joan Fontaine,From This Day Forward,1946,378,6.4
Joan Fontaine,The Affairs of Susan,1945,302,6.6
Joan Fontaine,Frenchman's Creek,1944,657,6.2
Joan Fontaine,Jane Eyre,1943,7992,7.5
Joan Fontaine,The Constant Nymph,1943,1212,6.8
Joan Fontaine,This Above All,1942,1074,6.8
Joan Fontaine,Suspicion,1941,33290,7.4
Joan Fontaine,Rebecca,1940,125343,8.1
Joan Fontaine,The Women,1939,12695,7.8
Joan Fontaine,Gunga Din,1939,11066,7.3
Joan Fontaine,Man of Conquest,1939,132,6.2
Joan Fontaine,Maid's Night Out,1938,369,6
Joan Fontaine,Blond Cheat,1938,216,5.9
Joan Fontaine,Sky Giant,1938,152,6
Joan Fontaine,The Duke of West Point,1938,144,6.3
Joan Fontaine,A Damsel in Distress,1937,1801,6.8
Joan Fontaine,Quality Street,1937,1051,6.3
Joan Fontaine,The Man Who Found Himself,1937,242,6.1
Joan Fontaine,You Can't Beat Love,1937,203,5.9
Joan Fontaine,Music for Madame,1937,147,5.8
Joan Fontaine,No More Ladies,1935,716,6
Clark Gable,The Misfits,1961,17488,7.2
Clark Gable,It Started in Naples,1960,2466,6.4
Clark Gable,But Not for Me,1959,467,6.3
Clark Gable,Run Silent Run Deep,1958,10417,7.3
Clark Gable,Teacher's Pet,1958,4144,7.1
Clark Gable,Band of Angels,1957,2112,6.6
Clark Gable,The King and Four Queens,1956,1410,6.1
Clark Gable,The Tall Men,1955,2255,6.7
Clark Gable,Soldier of Fortune,1955,1266,6.2
Clark Gable,Betrayed,1954,1102,6.1
Clark Gable,Mogambo,1953,7584,6.7
Clark Gable,Never Let Me Go,1953,718,6.2
Clark Gable,Lone Star,1952,872,6.1
Clark Gable,Across the Wide Missouri,1951,1845,6.2
Clark Gable,Callaway Went Thataway,1951,603,6.5
Clark Gable,To Please a Lady,1950,819,6.2
Clark Gable,Key to the City,1950,720,6.4
Clark Gable,Any Number Can Play,1949,783,6.9
Clark Gable,Command Decision,1948,1888,7.3
Clark Gable,Homecoming,1948,851,6.8
Clark Gable,The Hucksters,1947,1438,6.7
Clark Gable,Adventure,1945,942,6.2
Clark Gable,Somewhere I'll Find You,1942,737,6.1
Clark Gable,Honky Tonk,1941,999,6.6
Clark Gable,They Met in Bombay,1941,963,6.6
Clark Gable,Boom Town,1940,3138,7.1
Clark Gable,Strange Cargo,1940,2328,6.9
Clark Gable,Comrade X,1940,1386,6.6
Clark Gable,Gone with the Wind,1939,292744,8.1
Clark Gable,Idiot's Delight,1939,1345,6.5
Clark Gable,Test Pilot,1938,2189,6.9
Clark Gable,Too Hot to Handle,1938,1366,6.7
Clark Gable,Saratoga,1937,1573,6.5
Clark Gable,Parnell,1937,465,5.4
Clark Gable,San Francisco,1936,4968,7.2
Clark Gable,Wife vs. Secretary,1936,3109,7.1
Clark Gable,Cain and Mabel,1936,1771,6.5
Clark Gable,Love on the Run,1936,1018,6
Clark Gable,Mutiny on the Bounty,1935,21026,7.7
Clark Gable,China Seas,1935,2279,6.9
Clark Gable,Call of the Wild,1935,1889,6.8
Clark Gable,After Office Hours,1935,727,6.4
Clark Gable,It Happened One Night,1934,95109,8.1
Clark Gable,Manhattan Melodrama,1934,3676,7.2
Clark Gable,Forsaking All Others,1934,1137,6.4
Clark Gable,Chained,1934,805,6.2
Clark Gable,Men in White,1934,608,6.4
Clark Gable,Dancing Lady,1933,2107,6.8
Clark Gable,Hold Your Man,1933,1381,6.9
Clark Gable,Night Flight,1933,799,6.2
Clark Gable,The White Sister,1933,357,5.9
Clark Gable,Red Dust,1932,3867,7.3
Clark Gable,No Man of Her Own,1932,1072,6.6
Clark Gable,Polly of the Circus,1932,1059,6.2
Clark Gable,Strange Interlude,1932,674,5.7
Clark Gable,Night Nurse,1931,3422,7
Clark Gable,A Free Soul,1931,2302,6.7
Clark Gable,Possessed,1931,1810,6.9
Clark Gable,Susan Lenox <Her Fall and Rise,1931,1097,6.4
Clark Gable,"Dance, Fools, Dance",1931,824,6.2
Clark Gable,The Secret 6,1931,796,6.3
Clark Gable,The Painted Desert,1931,606,5.1
Clark Gable,Laughing Sinners,1931,589,5.4
Clark Gable,Hell Divers,1931,514,6.3
Clark Gable,The Easiest Way,1931,455,6.1
Clark Gable,The Finger Points,1931,402,5.9
Clark Gable,Sporting Blood,1931,301,6.1
Clark Gable,Ben-Hur: A Tale of the Christ,1925,7140,7.8
Clark Gable,The Merry Widow,1925,2153,7.3
Clark Gable,The Plastic Age,1925,281,6
Clark Gable,Forbidden Paradise,1924,127,6.
Alice Krige,Chariots of Fire,1981,55463,7.2
Alice Krige,Ghost Story,1981,7731,6.3
